lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
24.45,118.416667,hamlet,,Changle,-2627058,PPL,populated place,GNS
24.45,118.333333,hamlet,,Zhenxi,-2627242,PPL,populated place,GNS
24.468056,118.295278,hamlet,,Wushazui,6261228,PPL,populated place,GNS
24.496667,118.394167,hamlet,,Dajiao,-2637607,PPL,populated place,GNS
24.45,118.416667,hamlet,,Wuyangtai,-2640591,PPL,populated place,GNS
24.45,118.416667,hamlet,,Wucun,-2640561,PPL,populated place,GNS
24.45,118.433333,hamlet,,Shangzhuang,-2636385,PPL,populated place,GNS
24.466667,118.416667,hamlet,,Pingdong,-2635732,PPL,populated place,GNS
24.395833,118.309167,hamlet,,Guta,-2632809,PPL,populated place,GNS
24.415278,118.3,hamlet,,Xiancuo,-2630883,PPL,populated place,GNS
