lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
23.416667,120.5,village,,Baimangbu,-2635063,PPL,populated place,GNS
23.45,120.533333,village,,Wufengdian,-2640352,PPL,populated place,GNS
23.533333,120.533333,village,,Hushe,-2631904,PPL,populated place,GNS
23.533333,120.533333,village,,Neijiaogong,-2634710,PPL,populated place,GNS
23.533333,120.583333,village,,Duancuoliao,-2639460,PPL,populated place,GNS
23.466667,120.483333,village,,Zhongchuzhiso,-2628740,PPL,populated place,GNS
23.516667,120.566667,village,,Shuiding,-2637279,PPL,populated place,GNS
23.6,120.4,village,,Xiguli,-2630944,PPL,populated place,GNS
23.533333,120.433333,village,,Tulou,-2639528,PPL,populated place,GNS
23.5,120.5,village,,Pingding,-2635718,PPL,populated place,GNS
23.5,120.5,village,,Shuangwantan,-2637174,PPL,populated place,GNS
23.566667,120.566667,village,,Bantian,-2635216,PPL,populated place,GNS
23.5,120.516667,village,,Taidoukeng,-2637923,PPL,populated place,GNS
23.466667,120.5,village,,Kouweng,-2632586,PPL,populated place,GNS
23.466667,120.5,village,,Huangxizijiao,-2631709,PPL,populated place,GNS
23.416667,120.45,village,,Niujiebu,-2634880,PPL,populated place,GNS
23.55,120.366667,village,,Zhuzijiao,-2629143,PPL,populated place,GNS
23.483333,120.35,village,,Baigecuo,-2635039,PPL,populated place,GNS
23.516667,120.383333,village,,Wayaogou,-2640181,PPL,populated place,GNS
23.55,120.8,village,,Mianyue,-2634259,PPL,populated place,GNS
23.566667,120.8,village,,Huilong,-2631774,PPL,populated place,GNS
23.466667,120.366667,village,,Changfuqiao,-2627031,PPL,populated place,GNS
23.55,120.616667,village,,Yizhishan,-2631963,PPL,populated place,GNS
23.516667,120.6,village,,Zhencuozi,-2627289,PPL,populated place,GNS
23.416667,120.183333,village,,Jinjinglin,-2627979,PPL,populated place,GNS
23.433333,120.283333,village,,Zhenping,-2627261,PPL,populated place,GNS
23.333333,120.15,village,,Taiyanxintun,-2637952,PPL,populated place,GNS
23.483333,120.25,village,,Liangxicun,-2633190,PPL,populated place,GNS
23.483333,120.25,village,,Xiabuzi,-2630684,PPL,populated place,GNS
23.383333,120.166667,village,,Banludian,-2635196,PPL,populated place,GNS
23.516667,120.733333,village,,Yimuzhishe,-2632010,PPL,populated place,GNS
23.5,120.716667,village,,Duoluoyan,-2639157,PPL,populated place,GNS
23.45,120.25,village,,Dong'anliao,-2639541,PPL,populated place,GNS
23.3,120.566667,village,,Xiabu,-2630675,PPL,populated place,GNS
23.35,120.233333,village,,Yi'an,-2631954,PPL,populated place,GNS
23.35,120.233333,village,,Sankuaicuo,-2636161,PPL,populated place,GNS
