lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
24.1612,121.6589,halmet,上崁,Shangkan,10006742,PPL,populated place,GNS
24.006482,121.632968,halmet,華東,Huadong,10006756,PPL,populated place,GNS
24.132449,121.639135,halmet,興田,Xingtian,10006785,PPL,populated place,GNS
24.109596,121.627304,halmet,南部,Nanbu,10006790,PPL,populated place,GNS
24.082301,121.606447,halmet,景美,Jingmei,10006791,PPL,populated place,GNS
24.177923,121.656898,halmet,板下,Banxia,10006818,PPL,populated place,GNS
24.1572,121.6614,halmet,二層崁,Ercengkan,10006820,PPL,populated place,GNS
24.146946,121.662168,halmet,下崁,Xiakan,10006821,PPL,populated place,GNS
24.152889,121.649167,halmet,上崇德,Shangchongde,10006822,PPL,populated place,GNS
24.129888,121.652763,halmet,民有,Minyou,10006824,PPLX,populated place,GNS
23.492716,121.505772,halmet,石梯港,Shitigang,10035465,PPL,populated place,GNS
23.464178,121.490568,halmet,靜安,Jing'an,10035470,PPL,populated place,GNS
23.443476,121.495503,halmet,三富橋,Sanfuqiao,10035474,PPL,populated place,GNS
23.426413,121.478531,halmet,金坑,Jinkeng,10035475,PPL,populated place,GNS
23.43392,121.491143,halmet,大岩石,Dayanshi,10035731,PPL,populated place,GNS
23.869444,121.598889,halmet,鹽寮,Yanliao,-2640695,PPL,populated place,GNS
23.424702,121.488625,halmet,大峰峰,Dafengfeng,-2637630,PPL,populated place,GNS
23.46936,121.497481,halmet,大港囗,Dagangkou,-2637972,PPL,populated place,GNS
23.499418,121.50179,halmet,石梯,Shiti,-2636999,PPL,populated place,GNS
23.483163,121.511866,halmet,石梯坪,Shitiping,-2636998,PPL,populated place,GNS
24.10531,121.62041,halmet,北三棧,Beisanzhan,-2635451,PPL,populated place,GNS
24.1172,121.6385,halmet,順安,Shun'an,-2637357,PPL,populated place,GNS
23.784167,121.563889,halmet,水璉,Shuilian,-2637225,PPL,populated place,GNS
24.064,121.6067,halmet,廣山,Guangshan,-2636502,PPL,populated place,GNS
24.052313,121.608596,halmet,康樂,Kangle,-2634970,PPL,populated place,GNS
23.995,121.628611,halmet,美崙,Meilun,-2634174,PPLX,populated place,GNS
24.133333,121.633333,halmet,,Gele,-2632517,PPL,populated place,GNS
23.475172,121.503346,halmet,港囗,Gangkou,-2632222,PPL,populated place,GNS
24,121.616667,halmet,,Guomin,-2633000,PPL,populated place,GNS
24.096824,121.614042,halmet,南三棧,Nansanzhan,-2634560,PPL,populated place,GNS
23.641944,121.532778,halmet,新莊,Xinzhuang,-2632860,PPL,populated place,GNS
24.247795,121.716723,halmet,和仁,Heren,-2632051,PPL,populated place,GNS
23.532765,121.50922,halmet,一軒家,Yixuanjia,-2631983,PPL,populated place,GNS
23.597778,121.520833,halmet,豐濱,Fengbin,-2629560,PPL,populated place,GNS
24.12662,121.651341,halmet,新城,Xincheng,-2630992,PPL,populated place,GNS
23.748889,121.551944,halmet,芳寮,Fangliao,-2629333,PPL,populated place,GNS
24.120189,121.626297,halmet,秀林,Xiulin,-2631579,PPL,populated place,GNS
24.270418,121.740663,halmet,和中,Hezhong,-2630039,PPL,populated place,GNS
23.652778,121.537778,halmet,新社,Xinshe,-2631326,PPL,populated place,GNS
24.162963,121.654311,halmet,崇德,Chongde,-2628974,PPL,populated place,GNS
23.565833,121.5175,halmet,立德,Lide,-2629736,PPL,populated place,GNS
24.025843,121.632257,halmet,七星潭,Qixingtan,-2627872,PPL,populated place,GNS
24.080468,121.613278,halmet,加灣,Jiawan,-2627547,PPL,populated place,GNS
24.218317,121.6892,halmet,清水,Qingshui,-2628064,PPL,populated place,GNS
23.459164,121.498289,halmet,靜浦,Jingpu,-2628038,PPL,populated place,GNS
23.713611,121.545278,halmet,加路蘭,Jialulan,78837,PPL,populated place,GNS
23.926667,121.606944,halmet,嶺頂,Lingding,6305169,PPL,populated place,GNS
23.906389,121.603333,halmet,大坑,Dakeng,6305172,PPL,populated place,GNS
23.880833,121.601389,halmet,福德,Fude,6305182,PPL,populated place,GNS
