lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
25.016667,121.483333,hamlet,,Wayaocun,-2640185,PPL,populated place,GNS
25.033333,121.6,hamlet,,Louzicuo,-2633602,PPL,populated place,GNS
25.116667,121.533333,hamlet,,Yuchouhu,-2640886,PPL,populated place,GNS
25.116667,121.516667,hamlet,,Yuchaokeng,-2640859,PPL,populated place,GNS
25.066667,121.6,hamlet,,Xinlizu,-2631268,PPL,populated place,GNS
25,121.533333,hamlet,,Baozijiaokeng,-2635274,PPL,populated place,GNS
25.016667,121.583333,hamlet,,Mipokeng,-2634302,PPL,populated place,GNS
25.002778,121.501944,hamlet,,Miaomeicun,-2634240,PPL,populated place,GNS
25.116667,121.516667,hamlet,,Lanya,-2633106,PPL,populated place,GNS
25,121.533333,hamlet,,Xizhou,-2630821,PPL,populated place,GNS
25.1,121.516667,hamlet,,Xiashulin,-2630721,PPL,populated place,GNS
25.066667,121.533333,hamlet,,Xiapitou,-2630667,PPL,populated place,GNS
25.133333,121.566667,hamlet,,Fanzishukong,-2629455,PPL,populated place,GNS
25.083333,121.533333,hamlet,,Fanshe,-2629394,PPL,populated place,GNS
25.15,121.55,hamlet,,Guibinguan,-2632761,PPL,populated place,GNS
25.116667,121.516667,hamlet,,Xiananzi,-2630468,PPL,populated place,GNS
24.983333,121.55,hamlet,,Zhangjiao,-2627025,PPL,populated place,GNS
25.05,121.55,hamlet,,Yanjijie,-2640680,PPL,populated place,GNS
25.083333,121.5,hamlet,,Duzitou,-2639878,PPL,populated place,GNS
25.033333,121.483333,hamlet,,Dongyuanjie,-2639835,PPL,populated place,GNS
24.983333,121.566667,hamlet,,Zhinanshanzhuang,-2627828,PPL,populated place,GNS
25.05,121.583333,hamlet,,Dongxin,-2639613,PPL,populated place,GNS
25.016667,121.5,hamlet,,Dianjie,-2638749,PPL,populated place,GNS
24.966667,121.566667,hamlet,,Degaoling,-2638692,PPL,populated place,GNS
25.133333,121.55,hamlet,,Dacuodi,-2638551,PPL,populated place,GNS
25.016667,121.483333,hamlet,,Xiyuanjie,-2631629,PPL,populated place,GNS
25.033333,121.6,hamlet,,Hengkengzi,-2629961,PPL,populated place,GNS
25.066667,121.533333,hamlet,,Zhulunli,-2628650,PPL,populated place,GNS
25.083333,121.6,hamlet,,Shisifenpo,-2636977,PPL,populated place,GNS
25.1,121.516667,hamlet,,Hougang,-2630137,PPL,populated place,GNS
25,121.566667,hamlet,,Fengdongshi,-2629615,PPL,populated place,GNS
25.15,121.533333,hamlet,,Zhongshanlou,-2628957,PPL,populated place,GNS
24.966667,121.583333,hamlet,,Qizitou,-2628271,PPL,populated place,GNS
25.05,121.533333,hamlet,,Shulanjie,-2637339,PPL,populated place,GNS
25.016667,121.483333,hamlet,,Shuiwei,-2637316,PPL,populated place,GNS
24.983333,121.566667,hamlet,,Dailaokeng,-2637854,PPL,populated place,GNS
25.1,121.583333,hamlet,,Dahu,-2637794,PPL,populated place,GNS
25.05,121.533333,hamlet,,Shierjia,-2636769,PPL,populated place,GNS
25,121.566667,hamlet,,Bojiacun,-2635820,PPL,populated place,GNS
25.019722,121.593611,hamlet,,Lishanli,-2633405,PPL,populated place,GNS
25.016667,121.483333,hamlet,,Gangzui,-2632254,PPL,populated place,GNS
25,121.566667,hamlet,,Xingfucun,-2631117,PPL,populated place,GNS
25.1,121.516667,hamlet,,Fuxingli,-2629720,PPL,populated place,GNS
25.066667,121.5,hamlet,,Fenliao,-2629633,PPL,populated place,GNS
25.1,121.516667,hamlet,,Zhouweitou,-2628481,PPL,populated place,GNS
25.058333,121.566389,hamlet,,Jiuzong,-2628418,PPL,populated place,GNS
25.1,121.516667,hamlet,,Jiujie,-2628285,PPL,populated place,GNS
25.15,121.483333,hamlet,,Beizitou,-2635536,PPL,populated place,GNS
25.15,121.483333,hamlet,,Dingbeitou,-2639065,PPL,populated place,GNS
25.15,121.5,hamlet,,Datun,-2638571,PPL,populated place,GNS
25.15,121.466667,hamlet,,Waibeishi,-2639962,PPL,populated place,GNS
25.133333,121.466667,hamlet,,Ziqiangxincun,-2639887,PPL,populated place,GNS
25.133333,121.466667,hamlet,,Xucuo,-2631671,PPL,populated place,GNS
24.966667,121.533333,hamlet,,Yulonggongsi,-2640958,PPL,populated place,GNS
24.983333,121.516667,hamlet,,Xiushancun,-2631600,PPL,populated place,GNS
24.983333,121.516667,hamlet,,Nanjiao,-2634392,PPL,populated place,GNS
24.983333,121.516667,hamlet,,Jiuxiongjiao,-2628320,PPL,populated place,GNS
25.066667,121.5,hamlet,,Yanping,-2640700,PPLX,populated place,GNS
25.066667,121.5,hamlet,,Datong,-2638583,PPLX,populated place,GNS
25.033333,121.483333,hamlet,,Shuangyuan,-2637175,PPLX,populated place,GNS
25.05,121.5,hamlet,,Longshan,-2633773,PPLX,populated place,GNS
25.033333,121.516667,hamlet,,Guting,-2633032,PPLX,populated place,GNS
25.05,121.516667,hamlet,,Zhongshan,-2628951,PPLX,populated place,GNS
25.05,121.516667,hamlet,,Jiancheng,-2627629,PPLX,populated place,GNS
25.05,121.5,hamlet,,Chengzhong,-2627200,PPLX,populated place,GNS
