lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
24.981121,121.356405,halmet,蕭厝坑,Xiaocuokeng,10030960,PPL,populated place,GNS
24.989171,121.357921,halmet,兔子坑,Tuzikeng,-2639875,PPL,populated place,GNS
24.9845,121.3518,halmet,大丘田,Daqiutian,10030959,PPL,populated place,GNS
24.979906,121.347358,halmet,大竹圍,Dazhuwei,-2637716,PPL,populated place,GNS
24.98762,121.347876,halmet,下社,Xiashe,10030953,PPL,populated place,GNS
24.976891,121.336828,halmet,大湖,Dahu,-2637838,PPL,populated place,GNS
24.979444,121.268611,halmet,崁子腳,Kanzijiao,-2632351,PPL,populated place,GNS
25.062974,121.175346,halmet,南港,Nangang,10020618,PPL,populated place,GNS
25.064991,121.16583,halmet,廍崙,Poulun,10020546,PPL,populated place,GNS
25.066667,121.166667,halmet,,Niukuliao,-2634908,PPL,populated place,GNS
25.047366,121.189203,halmet,崙頂,Lunding,-2633840,PPL,populated place,GNS
25.040454,121.186715,halmet,雙溪口,Shuangxikou,-2637139,PPL,populated place,GNS
25.040814,121.182969,halmet,張屋,Zhangwu,10020610,PPL,populated place,GNS
25.029109,121.179143,halmet,紅土厝,Hongtucuo,10020330,PPL,populated place,GNS
25.032552,121.178603,halmet,三界壇後,Sanjietanhou,10020558,PPL,populated place,GNS
25.04655,121.180858,halmet,溪洲,Xizhou,10020608,PPL,populated place,GNS
25.034876,121.174795,halmet,劉屋,Liuwu,10020553,PPL,populated place,GNS
25.041447,121.175472,halmet,舊店子,Jiudianzi,10020552,PPL,populated place,GNS
25.044405,121.175047,halmet,舊厝仔,Jiucuozi,10020341,PPL,populated place,GNS
25.066667,121.25,halmet,,Weigu,-2640199,PPL,populated place,GNS
25.066667,121.25,halmet,,Guotianzi,-2633015,PPL,populated place,GNS
24.949167,121.017778,halmet,後莊姜厝,Houzhuangjiangcuo,6405316,PPL,populated place,GNS
24.951389,121.029722,halmet,後莊尾,Houzhuangwei,-2630099,PPL,populated place,GNS
24.956944,121.012222,halmet,深圳,Shenzhen,-2636657,PPL,populated place,GNS
24.96,121.024722,halmet,過坑,Guokeng,6402214,PPL,populated place,GNS
24.96,121.0125,halmet,王屋店,Wangwudian,6405265,PPL,populated place,GNS
24.96,121.039444,halmet,大坡,Dapo,-2632646,PPL,populated place,GNS
24.9625,121.035833,halmet,游厝,Youcuo,6402215,PPL,populated place,GNS
24.969722,121.025556,halmet,埔子頂,Buziding,6402213,PPL,populated place,GNS
24.971944,121.018889,halmet,榕樹下,Rongshuxia,-2632140,PPL,populated place,GNS
24.975278,121.026667,halmet,槺榔山,Kanglangshan,6402181,PPL,populated place,GNS
24.978056,121.023889,halmet,笨仔港,Benzigang,-2635605,PPL,populated place,GNS
24.96748,121.300504,halmet,小大湳,Xiaodanan,-2630625,PPLX,populated place,GNS
24.968246,121.323686,halmet,水尾,Shuiwei,10030952,PPL,populated place,GNS
24.983333,121.316667,halmet,,Fenglin,-2629540,PPL,populated place,GNS
24.98766,121.336562,halmet,山頂,Shanding,-2636547,PPL,populated place,GNS
24.9896,121.3187,halmet,桃園,Taoyuan,-2638319,PPLA,populated place,GNS
24.928611,121.232778,halmet,社尾,Shewei,6404817,PPL,populated place,GNS
24.8125,121.248611,halmet,石門,Shimen,-2636874,PPL,populated place,GNS
24.829444,121.250278,halmet,大坪,Daping,-2638374,PPL,populated place,GNS
24.820278,121.244167,halmet,北苑,Beiyuan,6405352,PPL,populated place,GNS
24.824722,121.244444,halmet,二坪,Erping,-2629280,PPL,populated place,GNS
24.821944,121.243333,halmet,石門寮,Shimenliao,6405032,PPL,populated place,GNS
24.806944,121.231389,halmet,小竹坑,Xiaozhukeng,6405038,PPL,populated place,GNS
24.817222,121.225556,halmet,石鐮子,Shilianzi,-2636847,PPL,populated place,GNS
24.818333,121.225,halmet,打鐵坑,Datiekeng,-2638538,PPL,populated place,GNS
24.8125,121.220556,halmet,粗坑,Cukeng,6405134,PPL,populated place,GNS
24.815556,121.221111,halmet,南窩口,Nanwokou,6405133,PPL,populated place,GNS
24.826667,121.22,halmet,十股寮,Shiguliao,-2636827,PPL,populated place,GNS
24.8275,121.215833,halmet,龍源,Longyuan,6405378,PPL,populated place,GNS
24.820556,121.211389,halmet,瓦寮下,Waliaoxia,6405030,PPL,populated place,GNS
24.824167,121.211111,halmet,石崎子,Shiqizi,6405357,PPL,populated place,GNS
24.823889,121.205833,halmet,深窩子,Shenwozi,-2636705,PPL,populated place,GNS
24.79227,121.26888,halmet,喜龍,Xilong,10030916,PPL,populated place,GNS
24.799444,121.239444,halmet,大竹坑,Dazhukeng,-2637700,PPL,populated place,GNS
24.803075,121.267179,halmet,三角谷,Sanjiaogu,10031138,PPL,populated place,GNS
24.991796,121.264035,halmet,康屋,Kangwu,10030857,PPL,populated place,GNS
25.000111,121.262222,halmet,福興,Fuxing,-2629711,PPL,populated place,GNS
25.00179,121.28273,halmet,松子脚,Songzijiao,-2637554,PPL,populated place,GNS
25.0021,121.275406,halmet,新中福,Xinzhongfu,10164737,PPL,populated place,GNS
24.977222,121.2225,halmet,興南,Xingnan,-2631133,PPL,populated place,GNS
25.033333,121.166667,halmet,,Dongcuo,-2639813,PPL,populated place,GNS
25.035936,121.166261,halmet,下縣厝仔,Xiaxiancuozi,-2630364,PPL,populated place,GNS
25.038573,121.157709,halmet,灣潭仔,Wantanzi,10020543,PPL,populated place,GNS
25.049166,121.157217,halmet,塔子脚,Tazijiao,-2638611,PPL,populated place,GNS
25.039742,121.154302,halmet,石厝仔,Shicuozi,10020352,PPL,populated place,GNS
25.03008,121.151222,halmet,廣福,Guangfu,-2632610,PPL,populated place,GNS
25.083343,121.184764,halmet,海湖,Haihu,10020629,PPL,populated place,GNS
25.085511,121.195279,halmet,頂古亭,Dingguting,10020617,PPL,populated place,GNS
25.085552,121.189073,halmet,内海,Neihai,-2634723,PPL,populated place,GNS
25.089409,121.198701,halmet,古亭,Guting,10020571,PPL,populated place,GNS
25.090285,121.193843,halmet,後湖,Houhu,10020559,PPL,populated place,GNS
25.09341,121.20372,halmet,大平頂,Dapingding,10020573,PPL,populated place,GNS
24.948889,121.036111,halmet,莊厝,Zhuangcuo,6402242,PPL,populated place,GNS
24.948056,121.001389,halmet,吳厝,Wucuo,6431307,PPL,populated place,GNS
24.945833,120.999444,halmet,蚵間,Kejian,-2632501,PPL,populated place,GNS
24.942778,120.996667,halmet,金興,Jinxing,6431358,PPL,populated place,GNS
24.941389,120.995278,halmet,三塊厝,Sankuaicuo,6431403,PPL,populated place,GNS
24.939722,120.992222,halmet,羊寮,Yangliao,6431298,PPL,populated place,GNS
24.935833,121.081667,halmet,富岡,Fugang,-2629742,PPL,populated place,GNS
24.939722,121.075,halmet,伯公崗,Bogonggang,6405360,PPL,populated place,GNS
24.943889,121.07,halmet,曾厝,Zengcuo,6402278,PPL,populated place,GNS
24.921389,121.063333,halmet,六股,Liugu,6404858,PPL,populated place,GNS
24.9475,121.064722,halmet,呂屋,Luwu,6405363,PPL,populated place,GNS
24.939444,121.056111,halmet,牛角灣,Niujiaowan,6404854,PPL,populated place,GNS
24.953611,121.054444,halmet,十五間,Shiwujian,-2637080,PPL,populated place,GNS
24.946111,121.049722,halmet,甲洽潭,Jiaxiatan,6405398,PPL,populated place,GNS
24.936944,121.233889,halmet,石頭,Shitou,-2637002,PPL,populated place,GNS
