lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
23.95,120.666667,village,,Dingxizhou,-2638985,PPL,populated place,GNS
23.983333,120.683333,village,,Junliao,-2629040,PPL,populated place,GNS
23.866667,120.916667,village,,Kongjueyuan,-2632854,PPL,populated place,GNS
23.783333,120.883333,village,,Zhenghe,-2628755,PPL,populated place,GNS
23.916667,121.05,village,,Siyuanqiao,-2637486,PPL,populated place,GNS
23.933333,121.066667,village,,Qubingjiuzhi,-2629074,PPL,populated place,GNS
24.016667,121.116667,village,,Gaolengdi,-2632397,PPL,populated place,GNS
24.05,121.166667,village,,Yizhuang,-2631968,PPL,populated place,GNS
24.066667,121.166667,village,,Renzhuang,-2632045,PPL,populated place,GNS
24.066667,121.166667,village,,Chumuzhongxin,-2628661,PPL,populated place,GNS
23.866692,120.677399,village,,Tianzi,-2638882,PPL,populated place,GNS
24.056667,120.912778,village,,Beimeiguozhong,9188323,PPL,populated place,GNS
24.026389,120.921111,village,,Taipingguoxiao,9188170,PPL,populated place,GNS
23.966667,120.65,village,,Xiaxizhou,-2630361,PPL,populated place,GNS
24.033333,120.933333,village,,Shouzhengong,-2637093,PPL,populated place,GNS
24.033333,120.916667,village,,Dishui,-2639141,PPL,populated place,GNS
24.040556,120.857222,village,,Guoxingguozhong,9188277,PPL,populated place,GNS
24.016667,121.083333,village,,Tianzhutang,-2638766,PPL,populated place,GNS
24.033333,121.166667,village,,Shuiwenzhan,-2637326,PPL,populated place,GNS
24.033333,121.166667,village,,Xinzhuang,-2631058,PPL,populated place,GNS
24.033333,121.15,village,,Zhizhuang,-2627791,PPL,populated place,GNS
23.933333,120.7,village,,Zhuangtou,-2628513,PPL,populated place,GNS
23.866667,120.866667,village,,Baduqiao,-2635316,PPL,populated place,GNS
23.583333,120.866667,village,,Ziqiang,-2639885,PPL,populated place,GNS
23.733333,120.916667,village,,Tongge,-2639659,PPL,populated place,GNS
23.583333,121,village,,Talang,-2638044,PPL,populated place,GNS
23.666667,120.783333,village,,Luguxiang,-2633656,PPL,populated place,GNS
23.8,120.883333,village,,Taipingcun,-2637908,PPL,populated place,GNS
23.75,120.75,village,,Zhangya,-2627104,PPL,populated place,GNS
23.983333,120.883333,village,,Fangbu,-2629345,PPL,populated place,GNS
24,120.65,village,,Ailiao,-2626830,PPL,populated place,GNS
23.916667,120.633333,village,,Wudong,-2640573,PPL,populated place,GNS
23.916667,120.683333,village,,Shibazhang,-2636898,PPL,populated place,GNS
23.95,120.633333,village,,Nanhuagong,-2634465,PPL,populated place,GNS
23.95,120.633333,village,,Lizhu,-2633225,PPL,populated place,GNS
23.933333,120.633333,village,,Xilingli,-2630958,PPL,populated place,GNS
23.9,120.666667,village,,Minquanxincun,-2634272,PPL,populated place,GNS
24.065,120.877222,village,,Changliuguoxiao,9188287,PPL,populated place,GNS
23.966667,121,village,,Qianxilu,-2627658,PPL,populated place,GNS
23.95,120.866667,village,,Guoxingxiang,-2632955,PPL,populated place,GNS
24,120.933333,village,,Zhongniukeng,-2628921,PPL,populated place,GNS
24,120.933333,village,,Zhongniu,-2628920,PPL,populated place,GNS
23.933333,121.016667,village,,Jianchashao,-2627627,PPL,populated place,GNS
24.05,121.15,village,,Lizhuang,-2633226,PPL,populated place,GNS
23.95,120.783333,village,,Qingshui,-2628062,PPL,populated place,GNS
23.95,120.816667,village,,Cixionglong,-2639892,PPL,populated place,GNS
23.923371,120.917161,village,,Xishui,-2631517,PPL,populated place,GNS
23.95,120.916667,village,,Taomikengqiao,-2638296,PPL,populated place,GNS
23.65,120.916667,village,,Hapu,-2629934,PPL,populated place,GNS
23.666667,120.866667,village,,Jianchazhan,-2627626,PPL,populated place,GNS
